Pathway,ES,Gene_Count
HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.5770036821826411,97
HALLMARK_ADIPOGENESIS,0.5473743809974922,200
HALLMARK_E2F_TARGETS,-0.5027253586306761,200
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.4954339349545025,200
HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.4817255477985158,200
HALLMARK_G2M_CHECKPOINT,-0.4752031115944301,200
HALLMARK_MYC_TARGETS_V2,-0.43267281105980443,58
HALLMARK_FATTY_ACID_METABOLISM,0.3919644773540675,158
HALLMARK_ALLOGRAFT_REJECTION,-0.3538253105995316,200
HALLMARK_UV_RESPONSE_DN,0.3416619504085473,144
HALLMARK_PROTEIN_SECRETION,0.3371652816251509,96
HALLMARK_MITOTIC_SPINDLE,-0.30134996465684843,199
HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.28958377097216653,87
HALLMARK_TGF_BETA_SIGNALING,0.2846336380295033,54
HALLMARK_MYC_TARGETS_V1,-0.28379130173287653,200
HALLMARK_WNT_BETA_CATENIN_SIGNALING,-0.2673424136838464,42
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.2661961785386128,113
HALLMARK_BILE_ACID_METABOLISM,0.2655743931671047,112
HALLMARK_ANGIOGENESIS,0.25981320705079786,36
HALLMARK_PEROXISOME,0.24269816840367492,104
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.24256903930455195,200
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.23589548686292697,49
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.2319104316233478,74
HALLMARK_HYPOXIA,0.23062712983594022,200
HALLMARK_NOTCH_SIGNALING,0.22838276085318268,32
HALLMARK_MTORC1_SIGNALING,-0.22626941803854042,200
HALLMARK_XENOBIOTIC_METABOLISM,0.21624422739485677,200
HALLMARK_INFLAMMATORY_RESPONSE,-0.21586383392183892,200
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.20853086687162276,200
HALLMARK_DNA_REPAIR,-0.20794747543775804,150
HALLMARK_MYOGENESIS,0.20582956500004007,200
HALLMARK_ESTROGEN_RESPONSE_LATE,-0.2056407877836153,200
HALLMARK_ANDROGEN_RESPONSE,0.2026777469991137,101
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.1989040833835045,200
HALLMARK_HEME_METABOLISM,0.19726408532342254,200
HALLMARK_COAGULATION,0.19216212318685197,138
HALLMARK_PI3K_AKT_MTOR_SIGNALING,-0.18920559718331573,105
HALLMARK_IL2_STAT5_SIGNALING,-0.18901931401928881,199
HALLMARK_PANCREAS_BETA_CELLS,0.18594865300482682,40
HALLMARK_APOPTOSIS,-0.18396185459588327,161
HALLMARK_APICAL_SURFACE,-0.17091073846207458,44
HALLMARK_P53_PATHWAY,-0.16924148618771517,200
HALLMARK_KRAS_SIGNALING_UP,-0.16283625097140794,200
HALLMARK_APICAL_JUNCTION,-0.1590910194516094,200
HALLMARK_KRAS_SIGNALING_DN,-0.15243390491427514,200
HALLMARK_UV_RESPONSE_UP,-0.15024767371876682,158
HALLMARK_GLYCOLYSIS,0.12475857475858315,200
HALLMARK_HEDGEHOG_SIGNALING,-0.1152536693422655,36
HALLMARK_COMPLEMENT,-0.11433940690277938,200
HALLMARK_SPERMATOGENESIS,-0.06994313640766905,135
